issue_number,created_at,labels,comments,author,description
52285,2024-07-07 03:49:57+00:00,"['activerecord', 'docs']",1,heka1024,"PostgreSQL has datatype `macaddr8` but rails does not support in now. 

https://www.postgresql.org/docs/current/datatype-net-types.html#DATATYPE-MACADDR8

### Checklist

Before submitting the PR make sure the following are checked:

* [X] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [X] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [X] Tests are added or updated if you fix a bug or add a feature.
* [X] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52284,2024-07-06 18:13:38+00:00,[],0,xeron,"### Steps to reproduce

```
bundle exec rails new --skip-docker --skip-javascript --skip-jbuilder .
bundle exec rails s
curl -v http://localhost:3000/?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input
```

### Expected behavior

Rails returns a error to the client and doesn't trigger an exception (HTTP 400 maybe?).

### Actual behavior

Rails returns an HTTP 500 error to the client and triggers an exception:

```
Started GET ""/?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input"" for ::1 at 2024-07-06 11:10:08 -0700

ArgumentError (invalid byte sequence in UTF-8):

activesupport (7.1.3.4) lib/active_support/parameter_filter.rb:140:in `match?'
activesupport (7.1.3.4) lib/active_support/parameter_filter.rb:140:in `block in value_for_key'
activesupport (7.1.3.4) lib/active_support/parameter_filter.rb:140:in `any?'
activesupport (7.1.3.4) lib/active_support/parameter_filter.rb:140:in `value_for_key'
activesupport (7.1.3.4) lib/active_support/parameter_filter.rb:129:in `block in call'
activesupport (7.1.3.4) lib/active_support/parameter_filter.rb:128:in `each'
activesupport (7.1.3.4) lib/active_support/parameter_filter.rb:128:in `call'
activesupport (7.1.3.4) lib/active_support/parameter_filter.rb:84:in `filter'
actionpack (7.1.3.4) lib/action_dispatch/http/filter_parameters.rb:31:in `filtered_parameters'
actionpack (7.1.3.4) lib/action_controller/metal/instrumentation.rb:64:in `process_action'
actionpack (7.1.3.4) lib/action_controller/metal/params_wrapper.rb:261:in `process_action'
activerecord (7.1.3.4) lib/active_record/railties/controller_runtime.rb:32:in `process_action'
actionpack (7.1.3.4) lib/abstract_controller/base.rb:160:in `process'
actionview (7.1.3.4) lib/action_view/rendering.rb:40:in `process'
actionpack (7.1.3.4) lib/action_controller/metal.rb:227:in `dispatch'
actionpack (7.1.3.4) lib/action_controller/metal.rb:309:in `dispatch'
actionpack (7.1.3.4) lib/action_dispatch/routing/route_set.rb:49:in `dispatch'
actionpack (7.1.3.4) lib/action_dispatch/routing/route_set.rb:32:in `serve'
actionpack (7.1.3.4) lib/action_dispatch/journey/router.rb:51:in `block in serve'
actionpack (7.1.3.4) lib/action_dispatch/journey/router.rb:131:in `block in find_routes'
actionpack (7.1.3.4) lib/action_dispatch/journey/router.rb:124:in `each'
actionpack (7.1.3.4) lib/action_dispatch/journey/router.rb:124:in `find_routes'
actionpack (7.1.3.4) lib/action_dispatch/journey/router.rb:32:in `serve'
actionpack (7.1.3.4) lib/action_dispatch/routing/route_set.rb:882:in `call'
rack (3.1.6) lib/rack/tempfile_reaper.rb:20:in `call'
rack (3.1.6) lib/rack/etag.rb:29:in `call'
rack (3.1.6) lib/rack/conditional_get.rb:31:in `call'
rack (3.1.6) lib/rack/head.rb:15:in `call'
actionpack (7.1.3.4) lib/action_dispatch/http/permissions_policy.rb:36:in `call'
actionpack (7.1.3.4) lib/action_dispatch/http/content_security_policy.rb:33:in `call'
rack-session (2.0.0) lib/rack/session/abstract/id.rb:272:in `context'
rack-session (2.0.0) lib/rack/session/abstract/id.rb:266:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/cookies.rb:689:in `call'
activerecord (7.1.3.4) lib/active_record/migration.rb:655:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/callbacks.rb:29:in `block in call'
activesupport (7.1.3.4) lib/active_support/callbacks.rb:101:in `run_callbacks'
actionpack (7.1.3.4) lib/action_dispatch/middleware/callbacks.rb:28:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/executor.rb:14:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/actionable_exceptions.rb:16:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/debug_exceptions.rb:29:in `call'
web-console (4.2.1) lib/web_console/middleware.rb:132:in `call_app'
web-console (4.2.1) lib/web_console/middleware.rb:28:in `block in call'
web-console (4.2.1) lib/web_console/middleware.rb:17:in `catch'
web-console (4.2.1) lib/web_console/middleware.rb:17:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'
railties (7.1.3.4) lib/rails/rack/logger.rb:37:in `call_app'
railties (7.1.3.4) lib/rails/rack/logger.rb:24:in `block in call'
activesupport (7.1.3.4) lib/active_support/tagged_logging.rb:135:in `block in tagged'
activesupport (7.1.3.4) lib/active_support/tagged_logging.rb:39:in `tagged'
activesupport (7.1.3.4) lib/active_support/tagged_logging.rb:135:in `tagged'
activesupport (7.1.3.4) lib/active_support/broadcast_logger.rb:240:in `method_missing'
railties (7.1.3.4) lib/rails/rack/logger.rb:24:in `call'
sprockets-rails (3.5.1) lib/sprockets/rails/quiet_assets.rb:17:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/remote_ip.rb:92:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/request_id.rb:28:in `call'
rack (3.1.6) lib/rack/method_override.rb:28:in `call'
rack (3.1.6) lib/rack/runtime.rb:24:in `call'
activesupport (7.1.3.4) lib/active_support/cache/strategy/local_cache_middleware.rb:29:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/server_timing.rb:59:in `block in call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/server_timing.rb:24:in `collect_events'
actionpack (7.1.3.4) lib/action_dispatch/middleware/server_timing.rb:58:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/executor.rb:14:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/static.rb:25:in `call'
rack (3.1.6) lib/rack/sendfile.rb:114:in `call'
actionpack (7.1.3.4) lib/action_dispatch/middleware/host_authorization.rb:141:in `call'
railties (7.1.3.4) lib/rails/engine.rb:536:in `call'
puma (6.4.2) lib/puma/configuration.rb:272:in `call'
puma (6.4.2) lib/puma/request.rb:100:in `block in handle_request'
puma (6.4.2) lib/puma/thread_pool.rb:378:in `with_force_shutdown'
puma (6.4.2) lib/puma/request.rb:99:in `handle_request'
puma (6.4.2) lib/puma/server.rb:464:in `process_client'
puma (6.4.2) lib/puma/server.rb:245:in `block in run'
puma (6.4.2) lib/puma/thread_pool.rb:155:in `block in spawn_thread'
```

### System configuration

**Rails version**: 7.1.3.4
**Ruby version**: 3.3.3"
52283,2024-07-06 07:04:05+00:00,"['actionpack', 'activestorage']",0,natematykiewicz,"### Motivation / Background

https://github.com/rails/rails/pull/52197 added an `immutable: true` option to `expires_in`. This PR sets `immutable: true` for `http_cache_forever`, which additionally affects proxied ActiveStorage files.

### Detail

Set `immutable: true` on `http_cache_forever`'s `expires_in` call.

### Checklist

Before submitting the PR make sure the following are checked:

* [X] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [X] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [X] Tests are added or updated if you fix a bug or add a feature.
* [X] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52282,2024-07-06 00:24:15+00:00,[],0,wonda-tea-coffee,"The following warning appeared when starting devcontainer.

```
WARN[0000] /home/***/ghq/github.com/rails/rails/.devcontainer/compose.yaml: `version` is obsolete
WARN[0000] /tmp/devcontainercli-***/docker-compose/docker-compose.devcontainer.build-1720224621191.yml: `version` is obsolete
```

In fact, the top-level version element will be obsolete in the compose specification. 
https://github.com/compose-spec/compose-spec/blob/master/spec.md#version-top-level-element-obsolete"
52281,2024-07-05 18:45:13+00:00,['actiontext'],1,jagthedrummer,"### Motivation / Background

Images and other attachments added to a rich text area aren't being displayed in the editor when you go back to edit the record again.

Fixes: https://github.com/rails/rails/issues/52233

### Detail

This Pull Request makes it so that if the `action-text-attachment` element contains an empty `content` attribute, that attribute will be stripped out during the rendering of attachments.

### Additional information

None

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52280,2024-07-05 18:31:46+00:00,"['actionmailer', 'actionpack', 'activerecord', 'activesupport', 'railties', 'actionview', 'activejob', 'actioncable']",0,bensheldon,"<!--
Thanks for contributing to Rails!

Please do not make *Draft* pull requests, as they still send
notifications to everyone watching the Rails repo.

Create a pull request when it is ready for review and feedback
from the Rails team :).

If your pull request affects documentation or any non-code
changes, guidelines for those changes are [available
here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#contributing-to-the-rails-documentation)

About this template

The following template aims to help contributors write a good description for their pull requests.
We'd like you to provide a description of the changes in your pull request (i.e. bugs fixed or features added), the motivation behind the changes, and complete the checklist below before opening a pull request.

Feel free to discard it if you need to (e.g. when you just fix a typo). -->

### Motivation / Background

Fixes #51327

<!--
Describe why this Pull Request needs to be merged. What bug have you fixed? What feature have you added? Why is it important?
If you are fixing a specific issue, include ""Fixes #ISSUE"" (replace with the issue number, remove the quotes) and the issue will be linked to this PR.
-->

This Pull Request has been created to move all of the calls to `ActiveSupport.run_load_hooks` outside of their respective constant definitions. This is to ensure that the constant is fully defined before the `run_load_hooks` method is called. 

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* ~[] Tests are added or updated if you fix a bug or add a feature.~
* ~[ ] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.~
"
52279,2024-07-05 13:28:59+00:00,"['activerecord', 'PostgreSQL', 'With reproduction steps']",2,4ndv,"### Steps to reproduce
- Create an enum attribute backed by postgres with `validate: true`
- Create an uniqueness validation for another attribute with `scope: :enum_name`
- Provide incorrect enum value

<!-- Paste your executable test case created from one of the scripts found [here](https://edgeguides.rubyonrails.org/contributing_to_ruby_on_rails.html#create-an-executable-test-case) below: -->
```ruby
# frozen_string_literal: true

require ""bundler/inline""

gemfile(true) do
  source ""https://rubygems.org""

  gem ""rails""
  # If you want to test against edge Rails replace the previous line with this:
  # gem ""rails"", github: ""rails/rails"", branch: ""main""

  gem ""pg"", ""~> 1.1""
end

require ""active_record""
require ""minitest/autorun""
require ""logger""

ActiveRecord::Base.establish_connection(adapter: ""postgresql"", database: ""ar_enum_test"")
ActiveRecord::Base.logger = Logger.new(STDOUT)

ActiveRecord::Schema.define do
  create_enum :providers, %i[one two], force: true

  create_table :organizations, force: true do |t|
    t.enum :provider, enum_type: :providers, null: false
    t.string :external_id, null: false
  end
end

class Organization < ActiveRecord::Base
  enum :provider, { one: 'one', two: 'two' }, validate: true

  validates :external_id, uniqueness: { scope: :provider }
end

class BugTest < Minitest::Test
  def test_enum_stuff
    org = Organization.new(provider: :three, external_id: '123')

    assert_equal false, org.valid?
  end
end

```

### Expected behavior
Uniqueness validation does not throw with postgres error when incorrect scope enum value is provided

### Actual behavior
Uniqueness validation throws `ActiveRecord::StatementInvalid: PG::InvalidTextRepresentation`

<details>
  <summary>Full error log</summary>
  
  ```
  BugTest#test_enum_stuff:
  ActiveRecord::StatementInvalid: PG::InvalidTextRepresentation: ERROR:  invalid input value for enum providers: ""three""
  CONTEXT:  unnamed portal parameter $2 = '...'
  
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/postgresql_adapter.rb:894:in `exec_params'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/postgresql_adapter.rb:894:in `block (2 levels) in exec_no_cache'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/abstract_adapter.rb:1028:in `block in with_raw_connection'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/concurrency/null_lock.rb:9:in `synchronize'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/abstract_adapter.rb:1000:in `with_raw_connection'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/postgresql_adapter.rb:893:in `block in exec_no_cache'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/notifications/instrumenter.rb:58:in `instrument'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/abstract_adapter.rb:1143:in `log'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/postgresql_adapter.rb:892:in `exec_no_cache'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/postgresql_adapter.rb:872:in `execute_and_clear'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/postgresql/database_statements.rb:64:in `internal_exec_query'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/abstract/database_statements.rb:630:in `select'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/abstract/database_statements.rb:71:in `select_all'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/abstract/query_cache.rb:115:in `select_all'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/connection_adapters/abstract/database_statements.rb:96:in `select_rows'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/relation/finder_methods.rb:369:in `block in exists?'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/relation.rb:1018:in `skip_query_cache_if_necessary'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/relation/finder_methods.rb:369:in `exists?'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/validations/uniqueness.rb:45:in `validate_each'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activemodel-7.1.3.4/lib/active_model/validator.rb:155:in `block in validate'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activemodel-7.1.3.4/lib/active_model/validator.rb:151:in `each'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activemodel-7.1.3.4/lib/active_model/validator.rb:151:in `validate'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:426:in `block in make_lambda'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:202:in `block (2 levels) in halting'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:707:in `block (2 levels) in default_terminator'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:706:in `catch'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:706:in `block in default_terminator'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:203:in `block in halting'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:598:in `block in invoke_before'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:598:in `each'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:598:in `invoke_before'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:109:in `run_callbacks'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:952:in `_run_validate_callbacks'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activemodel-7.1.3.4/lib/active_model/validations.rb:441:in `run_validations!'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activemodel-7.1.3.4/lib/active_model/validations/callbacks.rb:115:in `block in run_validations!'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:110:in `run_callbacks'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activesupport-7.1.3.4/lib/active_support/callbacks.rb:952:in `_run_validation_callbacks'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activemodel-7.1.3.4/lib/active_model/validations/callbacks.rb:115:in `run_validations!'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activemodel-7.1.3.4/lib/active_model/validations.rb:366:in `valid?'
      /Users/lynx/.asdf/installs/ruby/3.3.3/lib/ruby/gems/3.3.0/gems/activerecord-7.1.3.4/lib/active_record/validations.rb:72:in `valid?'
      ar-enum-bug.rb:41:in `test_enum_stuff'
  ```
</details>

### System configuration
**Rails version**: `7.1.3.4`, `main`

**Ruby version**: `3.3.3`

**PostgreSQL version**: `14.11`, `16.3`
"
52278,2024-07-05 12:00:08+00:00,['actionview'],0,markzalar,"### Motivation / Background

This Pull Request has been created because of readability issues with the gotcha section of the select form options helper documentation.

### Detail

This Pull Request changes the select form options helper gotcha documentation.

### Additional information


### Checklist

Before submitting the PR make sure the following are checked:

* [X] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [X] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [X] Tests are added or updated if you fix a bug or add a feature.
* [X] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52276,2024-07-05 11:14:58+00:00,"['docs', 'ready']",1,andycroll,"### Motivation / Background

Noticed when reading the edge guides that we have some wonky formatting for the case when we use a method name in an h2 heading.

There's already a fix for h3-level headings, so I copied the font-weight (400) and eyeballed a font-size. 2.25rem looked too much to my eyes, so went with 2rem.

### Detail

This Pull Request changes CSS for the guides. To add `h2 code` formatting to bring the visual size into line.

### Additional information

#### Before:

![before](https://github.com/rails/rails/assets/2780/3af4f85c-2884-44dd-9519-362c593e9c2e)

#### After:

![after](https://github.com/rails/rails/assets/2780/d7c730e4-5636-4a26-8fd9-81676335acf5)

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
52275,2024-07-05 08:26:31+00:00,['activesupport'],1,kabirpathak,"### Motivation / Background
Fixes #52270 

### Detail

Added a `usage` section in the documentation for `ActiveSupport::NumberHelper`.

### Checklist

Before submitting the PR make sure the following are checked:

* [x] This Pull Request is related to one change. Unrelated changes should be opened in separate PRs.
* [x] Commit message has a detailed description of what changed and why. If this PR fixes a related issue include it in the commit message. Ex: `[Fix #issue-number]`
* [x] Tests are added or updated if you fix a bug or add a feature.
* [x] CHANGELOG files are updated for the changed libraries if there is a behavior change or additional feature. Minor bug fixes and documentation changes should not be included.
"
